Date [YYYY-MM-DD],Biogas production [m3/d]
2022-03-28,4534.320011
2022-03-29,6218.379512
2022-03-30,5847.315554
2022-03-31,5553.726488
2022-04-01,5203.05066
2022-04-02,4342.671593
2022-04-03,3849.278858
2022-04-04,4489.466126
2022-04-05,4905.383969
2022-04-06,4742.278932
2022-04-07,4587.329148
2022-04-08,4664.80404
2022-04-09,4607.717277
2022-04-10,3934.909002
2022-04-11,4546.552889
2022-04-12,6181.680878
2022-04-13,5773.918287
2022-04-14,2984.822166
2022-04-15,2014.347199
2022-04-16,3747.338211
2022-04-17,2866.571014
2022-04-18,3013.365547
2022-04-19,4513.931882
2022-04-20,3759.571088
2022-04-21,3837.045981
2022-04-22,2585.214826
2022-04-23,3331.420368
2022-04-24,3050.06418
2022-04-25,3837.045981
2022-04-26,5582.26987
2022-04-27,7339.726637
2022-04-28,7298.950378
2022-04-29,4310.050586
2022-04-30,1357.849428
2022-05-01,1390.470435
2022-05-02,1635.12799
2022-05-03,1651.438493
2022-05-04,2018.424825
2022-05-05,3943.064254
2022-05-06,3702.484326
2022-05-07,2515.895186
2022-05-08,2369.100653
2022-05-09,2944.045906
2022-05-10,3527.146411
2022-05-11,4636.260659
2022-05-12,5215.283538
2022-05-13,4583.251522
2022-05-14,3710.639577
2022-05-15,3404.817634
2022-05-16,5325.379437
2022-05-17,7042.059945
2022-05-18,7176.6216
2022-05-19,6960.507427
2022-05-20,5704.598647
2022-05-21,4509.854256
2022-05-22,4546.552889
2022-05-23,5154.119149
2022-05-24,4750.434184
2022-05-25,4469.077997
2022-05-26,5044.02325
2022-05-27,4171.411305
2022-05-28,2838.027633
2022-05-29,2646.379215
2022-05-30,2654.534467
2022-05-31,4040.927276
2022-06-01,5072.566631
2022-06-02,5476.251596
2022-06-03,5741.29728
2022-06-04,3788.11447
2022-06-05,3041.908928
2022-06-06,3661.708067
2022-06-07,5904.402317
2022-06-08,5101.110012
2022-06-09,2911.424899
2022-06-10,3306.954612
2022-06-11,2621.91346
2022-06-12,2263.08238
2022-06-13,2789.096122
2022-06-14,2401.721661
2022-06-15,2038.812955
2022-06-16,3649.475189
2022-06-17,5729.064402
2022-06-18,4167.333679
2022-06-19,3470.059649
2022-06-20,4326.36109
2022-06-21,5537.415985
2022-06-22,6724.005124
2022-06-23,6197.991382
2022-06-24,5859.548432
2022-06-25,4884.995839
2022-06-26,4738.201307
2022-06-27,3188.703461
2022-06-28,2438.420294
2022-06-29,1883.86317
2022-06-30,1472.022953
2022-07-01,2495.507056
2022-07-02,1692.214752
2022-07-03,1472.022953
2022-07-04,1186.58914
2022-07-05,2242.69425
2022-07-06,5011.402242
2022-07-07,6157.215123
2022-07-08,5435.475337
2022-07-09,4558.785767
2022-07-10,2952.201158
2022-07-11,3441.516267
2022-07-12,4028.694398
2022-07-13,4293.740082
2022-07-14,4836.064328
2022-07-15,5321.301812
2022-07-16,4126.55742
2022-07-17,3245.790224
2022-07-18,3335.497994
2022-07-19,4889.073465
2022-07-20,5362.078071
2022-07-21,5512.950229
2022-07-22,4562.863392
2022-07-23,2972.589288
2022-07-24,1896.096048
2022-07-25,2577.059575
2022-07-26,3592.388426
2022-07-27,4175.488931
2022-07-28,5056.256127
2022-07-29,5390.621452
2022-07-30,5056.256127
2022-07-31,3991.995765
2022-08-01,4363.059723
2022-08-02,4807.520947
2022-08-03,3914.520873
2022-08-04,4407.913608
2022-08-05,4587.329148
2022-08-06,5349.845193
2022-08-07,4281.507205
2022-08-08,3955.297132
2022-08-09,4183.644183
2022-08-10,4326.36109
2022-08-11,3665.785692
2022-08-12,3820.735477
2022-08-13,3319.18749
2022-08-14,3421.128138
2022-08-15,3902.287995
2022-08-16,4803.443321
2022-08-17,4946.160228
2022-08-18,5121.498142
2022-08-19,5007.324617
2022-08-20,4281.507205
2022-08-21,2899.192021
2022-08-22,3465.982023
2022-08-23,4391.603104
2022-08-24,4681.114544
2022-08-25,5027.712746
2022-08-26,4697.425047
2022-08-27,5060.333753
2022-08-28,4929.849724
2022-08-29,5052.178502
2022-08-30,5023.63512
2022-08-31,5080.721883
2022-09-01,5451.785841
2022-09-02,5578.192244
2022-09-03,4868.685336
2022-09-04,3029.676051
2022-09-05,2328.324394
2022-09-06,3421.128138
2022-09-07,4933.92735
2022-09-08,4399.758356
2022-09-09,3592.388426
2022-09-10,3119.383821
2022-09-11,2727.931733
2022-09-12,3747.338211
2022-09-13,3987.918139
2022-09-14,4465.000371
2022-09-15,4750.434184
2022-09-16,4897.228717
2022-09-17,5366.155697
2022-09-18,5019.557494
2022-09-19,5084.799509
2022-09-20,5635.279007
2022-09-21,5814.694547
2022-09-22,6096.050734
2022-09-23,6271.388648
2022-09-24,6043.041598
2022-09-25,5590.425122
2022-09-26,5753.530158
2022-09-27,5773.918287
2022-09-28,5777.995913
2022-09-29,5851.39318
2022-09-30,6418.183181
2022-10-01,7714.86822
2022-10-02,6785.169513
2022-10-03,6100.12836
2022-10-04,6308.087282
2022-10-05,5953.333828
2022-10-06,6067.507353
2022-10-07,5741.29728
2022-10-08,5109.265264
2022-10-09,2748.319863
2022-10-10,4273.351953
2022-10-11,4456.845119
2022-10-12,4501.699004
2022-10-13,5378.388574
2022-10-14,6157.215123
2022-10-15,5598.580373
2022-10-16,6087.895483
2022-10-17,5814.694547
2022-10-18,6760.703758
2022-10-19,6768.859009
2022-10-20,6984.973183
2022-10-21,6931.964046
2022-10-22,4746.356558
2022-10-23,3633.164685
2022-10-24,3335.497994
2022-10-25,1957.260436
2022-10-26,1435.32432
2022-10-27,2564.826697
2022-10-28,3759.571088
2022-10-29,3200.936339
2022-10-30,2821.717129
2022-10-31,3425.205764
2022-11-01,4411.991234
2022-11-02,5468.096344
2022-11-03,6055.274475
2022-11-04,5753.530158
2022-11-05,4285.584831
2022-11-06,154.949785
2022-11-07,3784.036844
2022-11-08,5464.018718
2022-11-09,7258.174118
2022-11-10,7482.443543
2022-11-11,5194.895408
2022-11-12,3808.502599
2022-11-13,3139.77195
2022-11-14,3074.529936
2022-11-15,2964.434036
2022-11-16,4632.183033
2022-11-17,4717.813177
2022-11-18,6189.83613
2022-11-19,3885.977492
2022-11-20,3417.050512
2022-11-21,4028.694398
2022-11-22,5374.310948
2022-11-23,5818.772172
2022-11-24,4004.228643
2022-11-25,3205.013965
2022-11-26,2727.931733
2022-11-27,1855.319789
2022-11-28,3041.908928
2022-11-29,3160.16008
2022-11-30,2075.511588
2022-12-01,2736.086985
2022-12-02,4522.087133
2022-12-03,4550.630515
2022-12-04,4220.342816
2022-12-05,4322.283464
2022-12-06,5521.105481
2022-12-07,8077.776926
2022-12-08,8844.370597
2022-12-09,8640.489302
2022-12-10,7078.758578
2022-12-11,5863.626057
2022-12-12,4538.397637
2022-12-13,4827.909077
2022-12-14,5981.877209
2022-12-15,4901.306343
2022-12-16,4652.571162
2022-12-17,3514.913534
2022-12-18,3025.598425
2022-12-19,3751.415837
2022-12-20,5345.767567
2022-12-21,8240.881963
2022-12-22,8061.466423
2022-12-23,5019.557494
2022-12-24,3551.612167
2022-12-25,2328.324394
2022-12-26,1773.767271
2022-12-27,4558.785767
2022-12-28,8978.932252
2022-12-29,9349.99621
2022-12-30,8191.950452
2022-12-31,4603.639652
