Date [YYYY-MM-DD],Digester 1 VFA/Alk ratio [-],Digester 2 VFA/Alk ratio [-]
2022-05-01,,
2022-05-02,,
2022-05-03,,
2022-05-04,,
2022-05-05,,
2022-05-06,,
2022-05-07,,
2022-05-08,,
2022-05-09,0.148845,0.132341
2022-05-10,0.126707,0.156926
2022-05-11,0.13696,0.191317
2022-05-12,,
2022-05-13,0.145415,0.193535
2022-05-14,0.129059,0.147467
2022-05-15,,
2022-05-16,0.115586,0.148838
2022-05-17,0.173741,0.32957
2022-05-18,0.142029,0.307675
2022-05-19,0.170555,0.448195
2022-05-20,0.144066,0.255659
2022-05-21,0.128503,0.159268
2022-05-22,0.125841,0.156171
2022-05-23,0.12341,0.147422
2022-05-24,0.13961,0.146487
2022-05-25,0.227598,0.248425
2022-05-26,0.273129,0.328841
2022-05-27,0.248175,0.344903
2022-05-28,0.143728,0.155575
2022-05-29,0.133257,0.152879
2022-05-30,0.126425,0.160354
2022-05-31,0.1305,0.14192
2022-06-01,0.395119,0.484762
2022-06-02,0.147269,0.17954
2022-06-03,0.139545,0.227065
2022-06-04,0.347512,0.405982
2022-06-05,0.302606,0.374927
2022-06-06,0.119952,0.145822
2022-06-07,0.141149,0.146494
2022-06-08,0.349107,0.318466
2022-06-09,0.164212,0.145702
2022-06-10,,
2022-06-11,0.144025,0.154283
2022-06-12,0.313787,0.339393
2022-06-13,0.325875,0.369632
2022-06-14,0.141348,0.138231
2022-06-15,0.144979,0.135393
2022-06-16,0.139578,0.164818
2022-06-17,0.16827,0.196177
2022-06-18,0.151639,0.146094
2022-06-19,0.139893,0.162098
2022-06-20,0.14077,0.140088
2022-06-21,0.137962,0.150115
2022-06-22,0.165837,0.158268
2022-06-23,0.150294,0.177058
2022-06-24,0.145599,0.167702
2022-06-25,0.165958,0.18258
2022-06-26,0.169569,0.17158
2022-06-27,0.176358,0.190653
2022-06-28,0.143182,0.16684
2022-06-29,0.163565,0.187257
2022-06-30,0.145546,0.184848
2022-07-01,0.141335,0.171173
2022-07-02,0.140279,0.144444
2022-07-03,0.166483,0.171613
2022-07-04,0.149071,0.165937
2022-07-05,0.143351,0.169973
2022-07-06,0.203935,0.245432
2022-07-07,0.215349,0.239465
2022-07-08,0.326047,0.149342
2022-07-09,0.24358,0.154094
2022-07-10,0.202458,0.151079
2022-07-11,0.192315,0.142402
2022-07-12,0.206395,0.170828
2022-07-13,0.225945,0.168741
2022-07-14,0.21227,0.156572
2022-07-15,0.308574,0.157381
2022-07-16,0.236993,0.179607
2022-07-17,0.2062,0.2
2022-07-18,0.206312,0.165966
2022-07-19,0.21621,0.169464
2022-07-20,0.302742,0.190965
2022-07-21,0.335253,0.18266
2022-07-22,0.279091,0.197936
2022-07-23,0.193261,0.214046
2022-07-24,0.167382,0.167156
2022-07-25,0.198483,0.190546
2022-07-26,0.173241,0.177515
2022-07-27,0.172882,0.159696
2022-07-28,0.191523,0.172628
2022-07-29,0.297987,0.18831
2022-07-30,0.252723,0.176351
2022-07-31,0.190402,0.181946
2022-08-01,0.180921,0.157874
2022-08-02,0.183535,0.156725
2022-08-03,0.165665,0.223522
2022-08-04,,0.354331
2022-08-05,,0.260379
2022-08-06,0.304054,0.190692
2022-08-07,0.172843,0.165956
2022-08-08,0.155691,0.164281
2022-08-09,0.165728,0.179387
2022-08-10,0.186003,0.166085
2022-08-11,0.176507,
2022-08-12,0.146026,0.14243
2022-08-13,0.162854,0.136178
2022-08-14,0.153588,0.142488
2022-08-15,0.178003,0.139602
2022-08-16,0.255995,0.163592
2022-08-17,0.305452,0.154324
2022-08-18,0.233541,0.132537
2022-08-19,0.248684,0.133845
2022-08-20,0.236476,0.138149
2022-08-21,0.142071,
2022-08-22,,
2022-08-23,0.32429,0.134771
2022-08-24,0.386038,0.11097
2022-08-25,0.49578,0.141248
2022-08-26,0.42409,0.108069
2022-08-27,0.415165,0.113945
2022-08-28,0.284234,0.111986
2022-08-29,0.285904,0.124625
2022-08-30,0.252953,
2022-08-31,,0.126773
2022-09-01,0.217931,0.118656
2022-09-02,0.345538,0.125667
2022-09-03,0.275893,0.123689
2022-09-04,0.165806,0.123107
2022-09-05,0.141881,0.120883
2022-09-06,0.114773,0.113355
2022-09-07,0.247072,0.10686
2022-09-08,0.205941,0.121739
2022-09-09,0.127695,0.111719
2022-09-10,0.10904,0.105414
2022-09-11,0.126311,0.147499
2022-09-12,0.109805,0.114851
2022-09-13,0.12244,0.109765
2022-09-14,0.136209,0.118775
2022-09-15,0.154552,0.135176
2022-09-16,0.121747,0.114737
2022-09-17,0.352042,0.112288
2022-09-18,0.323506,0.126644
2022-09-19,0.205273,0.113942
2022-09-20,0.285087,0.121884
2022-09-21,0.533958,0.130597
2022-09-22,0.593562,0.127917
2022-09-23,0.635045,0.121731
2022-09-24,0.733818,0.123593
2022-09-25,0.417435,0.158395
2022-09-26,0.237913,0.125025
2022-09-27,0.368475,0.133993
2022-09-28,0.447456,0.122213
2022-09-29,0.740189,0.142267
2022-09-30,0.930333,0.138174
2022-10-01,0.397877,0.26643
2022-10-02,0.242297,0.191489
2022-10-03,0.162007,0.14638
2022-10-04,0.134909,0.285413
2022-10-05,0.124055,0.298304
2022-10-06,0.135272,0.230545
2022-10-07,0.126005,0.454568
2022-10-08,0.131904,0.29414
2022-10-09,0.135822,0.141087
2022-10-10,0.122544,0.145145
2022-10-11,0.11716,0.148594
2022-10-12,0.257553,0.133888
2022-10-13,0.674687,0.151398
2022-10-14,0.488746,0.187601
2022-10-15,0.342514,0.230127
2022-10-16,0.165395,0.154877
2022-10-17,0.130193,0.161614
2022-10-18,0.133037,0.328476
2022-10-19,0.421921,0.177891
2022-10-20,0.630534,0.13834
2022-10-21,0.282656,0.201863
2022-10-22,0.137523,0.158352
2022-10-23,0.18329,0.125356
2022-10-24,0.141353,0.158383
2022-10-25,0.150324,0.128104
2022-10-26,0.131915,0.142077
2022-10-27,0.137689,0.162736
2022-10-28,0.144258,0.162232
2022-10-29,0.141277,0.160647
2022-10-30,0.21972,0.170473
2022-10-31,0.145862,0.149905
2022-11-01,0.163781,0.148249
2022-11-02,0.174223,0.164311
2022-11-03,0.14898,0.163684
2022-11-04,0.164425,0.159675
2022-11-05,0.163908,0.151836
2022-11-06,0.188131,0.196927
2022-11-07,0.138896,0.153307
2022-11-08,0.146164,0.151648
2022-11-09,0.146804,0.185129
2022-11-10,0.180707,0.203307
2022-11-11,0.160897,0.160641
2022-11-12,0.158663,0.1603
2022-11-13,0.184658,0.183252
2022-11-14,0.162965,0.171083
2022-11-15,0.164061,0.164123
2022-11-16,0.162118,0.17
2022-11-17,0.176172,0.176049
2022-11-18,0.172109,0.182998
2022-11-19,0.192551,0.186106
2022-11-20,0.185882,0.193692
2022-11-21,0.167291,0.181818
2022-11-22,0.174008,0.191578
2022-11-23,0.183731,0.195383
2022-11-24,0.195277,0.196731
2022-11-25,0.173626,0.18258
2022-11-26,0.163043,0.177814
2022-11-27,0.17878,0.188566
2022-11-28,0.15638,0.165874
2022-11-29,0.178368,0.174392
2022-11-30,0.179126,0.182392
2022-12-01,0.167859,0.179775
2022-12-02,0.171092,0.180059
2022-12-03,0.169109,0.227133
2022-12-04,0.200336,0.206339
2022-12-05,0.178604,0.191766
2022-12-06,0.180925,0.190028
2022-12-07,0.192365,0.217316
2022-12-08,0.24096,0.3247
2022-12-09,0.220938,0.24446
2022-12-10,0.196186,0.223481
2022-12-11,0.223237,0.243233
2022-12-12,0.202264,0.210579
2022-12-13,0.182486,0.199298
2022-12-14,0.199166,0.212361
2022-12-15,0.194635,0.202698
2022-12-16,0.192444,0.204594
2022-12-17,0.185988,0.19981
2022-12-18,0.212793,0.206152
2022-12-19,0.172761,0.197412
2022-12-20,0.195023,0.195508
2022-12-21,0.20708,0.235312
2022-12-22,0.238629,0.283718
2022-12-23,0.212025,0.220543
2022-12-24,0.19784,0.218561
2022-12-25,0.210302,0.198886
2022-12-26,0.174234,0.176259
2022-12-27,0.175078,0.182089
2022-12-28,0.227163,0.264422
2022-12-29,0.228707,0.285941
2022-12-30,0.211276,0.214805
2022-12-31,0.195684,0.21095
