station_padded_id,Station number,Station name,N samples,N exceedances,Percent exceedance [%],LATITUDE [deg],LONGITUDE [deg]
06006800102,6006800102,Sheridan Creek,10,0,0.0,43.51593351,-79.61543248
06007600302,6007600302,Credit River,10,1,10.0,43.64721276,-79.85627811
06007600402,6007600402,Silver Creek,10,2,20.0,43.64635939,-79.86622286
06007600502,6007600502,Black Creek,10,6,60.0,43.62759439,-80.02209311
06007600602,6007600602,Credit River,10,0,0.0,43.90965439,-80.06325348
06007600802,6007600802,Black Creek,10,4,40.0,43.62923289,-80.01039811
06007601002,6007601002,Credit River,10,1,10.0,43.72381351,-79.93099773
06007601502,6007601502,West Credit River,10,0,0.0,43.78373676,-80.03480098
06007601602,6007601602,Fletcher'S Creek,10,1,10.0,43.65858539,-79.74145536
06007601702,6007601702,Credit River,10,2,20.0,43.62214889,-79.73326498
06007601802,6007601802,Credit River,10,1,10.0,43.85620614,-80.04821261
06007602202,6007602202,Silver Creek,10,2,20.0,43.63747426,-79.88616561
06007602302,6007602302,Credit River,10,2,20.0,43.88846164,-80.06330648
06007605002,6007605002,Credit River,8,1,12.5,43.54919451,-79.63327273
06007605102,6007605102,Shaw'S Creek,10,0,0.0,43.85975964,-80.05739011
06007605202,6007605202,East Credit River,10,1,10.0,43.80982126,-79.92764911
06008000602,6008000602,Etobicoke Creek,11,6,54.545,43.60505564,-79.55975311
06008000702,6008000702,Etobicoke Creek West,7,3,42.857,43.67833164,-79.67950823
06008200302,6008200302,Mimico Creek,11,6,54.545,43.62847489,-79.49287136
06008300902,6008300902,Cold Creek,7,7,100.0,43.88810001,-79.71795598
06008301802,6008301802,Humber River,7,5,71.429,43.92614414,-79.80320748
06008301902,6008301902,Humber River,12,7,58.333,43.65143464,-79.49132861
06008310302,6008310302,Humber River West,7,6,85.714,43.75823701,-79.67843886
06008310402,6008310402,Centreville Creek,7,0,0.0,43.92418126,-79.83452048
06008501402,6008501402,Don River,11,9,81.818,43.68847164,-79.36213573
06009701102,6009701102,Rouge River,11,4,36.364,43.81085851,-79.15978098
06009701802,6009701802,Bruce Creek,7,2,28.571,43.89673301,-79.32307036
06010400102,6010400102,Duffins Creek,11,4,36.364,43.83918989,-79.03983861
06010400802,6010400802,Mitchell Creek,7,3,42.857,43.96144701,-79.12565398
06010800102,6010800102,Lynde Creek,6,2,33.333,43.85667164,-78.96067786
06011100802,6011100802,Oshawa Creek,6,1,16.667,43.86819778,-78.84614457
06011200302,6011200302,Farewell Creek,6,1,16.667,43.88073326,-78.82148323
06011600102,6011600102,Bowmanville Creek,6,1,16.667,43.89429201,-78.67502098
06011700202,6011700202,Orono Creek,7,1,14.286,43.95709651,-78.61934198
06011700302,6011700302,Wilmot Creek,7,1,14.286,43.91289539,-78.60870623
06012900102,6012900102,Ganaraska River,6,1,16.667,43.94788839,-78.29237698
06013000102,6013000102,Gage Creek,7,1,14.286,43.95566151,-78.26639348
06013300402,6013300402,Cobourg  Brook,7,1,14.286,43.95586776,-78.17994311
06013300502,6013300502,Cobourg Creek West,1,0,0.0,43.98844226,-78.21093061
06018000202,6018000202,Millhaven Creek,7,0,0.0,44.40682139,-76.60128585
06018000302,6018000302,Millhaven Creek,7,0,0.0,44.21406026,-76.78015448
06018300202,6018300202,Collins Creek,7,5,71.429,44.25642601,-76.61269673
08002100202,8002100202,The Cut(Ausable River),8,5,62.5,43.19331251,-81.81385686
08002201202,8002201202,Parkhill Creek,8,8,100.0,43.18501314,-81.72901586
08002201602,8002201602,Ausable River,8,0,0.0,43.36211689,-81.50944723
08002201902,8002201902,Decker Creek,8,3,37.5,43.18532864,-81.85668398
08002202402,8002202402,Parkhill Creek,17,10,58.824,43.16391371,-81.63167591
08004000802,8004000802,Bayfield River,8,0,0.0,43.55071776,-81.58937173
08005600102,8005600102,Maitland River,6,0,0.0,43.75224276,-81.70049673
08005600202,8005600202,Blyth Brook,7,0,0.0,43.74886951,-81.44591686
08005600302,8005600302,Maitland River,7,0,0.0,43.89549764,-81.35349723
08005600902,8005600902,Middle Maitland River,7,0,0.0,43.73036839,-81.02807098
08005603902,8005603902,Middle Maitland River,7,0,0.0,43.84005139,-81.32055223
08007600102,8007600102,Lucknow River,6,0,0.0,43.87649114,-81.70563998
08010300102,8010300102,Pine River,7,0,0.0,44.09370139,-81.72707486
08012303002,8012303002,Saugeen River,7,0,0.0,44.45609726,-81.32603473
08012305102,8012305102,South Saugeen River,7,0,0.0,44.09852564,-80.98513248
08012305302,8012305302,Rocky Saugeen River,7,0,0.0,44.21263151,-80.86270248
08013500302,8013500302,Sauble River,7,1,14.286,44.67718051,-81.25546136
08013500502,8013500502,Sauble River,7,1,14.286,44.53529476,-81.17765936
08013500602,8013500602,Spring Creek,7,0,0.0,44.64473576,-81.18539536
09000100402,9000100402,Redhill Creek,8,2,25.0,43.20034451,-79.82013348
09000100502,9000100502,Redhill Creek,8,2,25.0,43.23246039,-79.78474873
09000800502,9000800502,Spencer Creek,8,1,12.5,43.26519314,-79.96422961
09000800602,9000800602,Spencer Creek,8,4,50.0,43.28300414,-80.05308886
09000800702,9000800702,Spencer Creek,8,5,62.5,43.35303464,-80.07794948
09000902402,9000902402,Grindstone Creek,7,1,14.286,43.30128051,-79.86886936
10000100302,10000100302,Turkey Creek,6,4,66.667,42.24458189,-83.07082048
10000200202,10000200202,Canard River,5,5,100.0,42.15905964,-83.01879548
11000100502,11000100502,Welland River,7,3,42.857,43.02862239,-79.21112836
11000100702,11000100702,Welland River,7,7,100.0,42.97203639,-79.31766686
11000101202,11000101202,Welland River,7,5,71.429,43.02132544,-79.61770976
11000101302,11000101302,Oswego Creek,7,7,100.0,42.98062532,-79.5623277
12000200402,12000200402,Little Cataraqui Creek,7,2,28.571,44.25205989,-76.53475698
12000201002,12000201002,Little Cataraqui Creek,7,0,0.0,44.24082777,-76.5790854
12000400202,12000400202,Cataraqui River,7,0,0.0,44.29378189,-76.4410441
12001700102,12001700102,Gananoque River,7,0,0.0,44.32849739,-76.16688548
12002700102,12002700102,Larue Mills Creek,7,4,57.143,44.43318339,-75.8835371
12003100102,12003100102,Lyn Creek,7,1,14.286,44.52510401,-75.80519548
12003400102,12003400102,Butlers Creek,7,1,14.286,44.58559714,-75.69108773
12007300302,12007300302,Raisin River,7,1,14.286,45.14449477,-74.5776826
12007300802,12007300802,Raisin River,7,1,14.286,45.10992464,-74.7730631
12007301102,12007301102,North Raisin River,7,1,14.286,45.15010677,-74.73578523
12007301502,12007301502,South Raisin River,7,0,0.0,45.09994402,-74.67696085
12008000302,12008000302,Beaudette River,7,4,57.143,45.28216877,-74.44978663
12008600102,12008600102,Delisle River,7,0,0.0,45.31764314,-74.60216635
12008600202,12008600202,Delisle River,7,1,14.286,45.32856752,-74.61790498
12008600402,12008600402,Garry River,7,0,0.0,45.30295964,-74.63752123
12008601102,12008601102,Garry River,7,0,0.0,45.31270786,-74.6322657
13000300102,13000300102,Big Carp River,6,6,100.0,46.50622927,-84.44987174
13000800102,13000800102,East Davignon Creek,6,3,50.0,46.52216677,-84.38080749
13001100102,13001100102,Root River,5,5,100.0,46.54620264,-84.21850599
13001100202,13001100202,Root River,6,2,33.333,46.57238489,-84.32113511
13001101002,13001101002,Coldwater Creek,6,1,16.667,46.56565402,-84.27771561
14002800302,14002800302,Junction Creek,7,0,0.0,46.42733327,-81.09777461
14002801202,14002801202,Onaping River,7,3,42.857,46.60479002,-81.38126998
14002802802,14002802802,Whitson River,11,11,100.0,46.60999802,-81.03282385
14002803002,14002803002,Whitson River,7,5,71.429,46.53756177,-81.26590261
14002808902,14002808902,Lily Creek,7,0,0.0,46.47268839,-80.99619573
14002809002,14002809002,Vermilion River,7,0,0.0,46.43383014,-81.28167248
14002809102,14002809102,Levey Creek,7,4,57.143,46.52354214,-81.19623523
16002700102,16002700102,Sturgeon River,6,3,50.0,42.03252989,-82.56499711
16003000302,16003000302,Lebo Drain,6,5,83.333,42.05544151,-82.50461511
16003200102,16003200102,Muddy Creek,6,5,83.333,42.06681089,-82.46573323
16003200202,16003200202,Muddy Creek,6,4,66.667,42.08045514,-82.48914098
16007200102,16007200102,Dutton Drain,7,6,85.714,42.63216426,-81.49352811
16008700502,16008700502,Dodd Creek,7,6,85.714,42.78717564,-81.26732786
16008700602,16008700602,Beaver Creek,7,5,71.429,42.70747901,-81.19759173
16008701002,16008701002,Kettle Creek,7,6,85.714,42.69273176,-81.21758436
16008701502,16008701502,Kettle Creek,7,4,57.143,42.81367439,-81.17260573
16010900802,16010900802,Big Otter Creek,7,3,42.857,42.71094901,-80.84016061
16012401102,16012401102,Big Creek,7,1,14.286,42.68582701,-80.53842473
16015900302,16015900302,Lynn River,7,1,14.286,42.82338026,-80.28892861
16016400102,16016400102,Nanticoke Creek,7,5,71.429,42.80999326,-80.07650586
16018401002,16018401002,Grand River,7,0,0.0,43.27897714,-80.34338873
16018401202,16018401202,Grand River,7,1,14.286,43.38660089,-80.38680186
16018401502,16018401502,Grand River,7,1,14.286,43.48180126,-80.48175198
16018401602,16018401602,Canagagigue Creek,7,1,14.286,43.58474839,-80.53462448
16018402702,16018402702,Grand River,7,0,0.0,43.10974339,-80.24491061
16018403402,16018403402,Speed River,7,0,0.0,43.53362114,-80.25301686
16018403502,16018403502,Grand River,12,8,66.667,42.90026526,-79.61984636
16018403602,16018403602,Speed River,7,0,0.0,43.48425339,-80.28215011
16018409302,16018409302,Fairchild Creek,6,6,100.0,43.14896826,-80.17155086
16018410602,16018410602,Whitemans Creek,1,0,0.0,43.12609589,-80.38370323
16018411702,16018411702,Schneider Creek,7,1,14.286,43.39380814,-80.41611723
16018412802,16018412802,Big Creek,1,0,0.0,43.09604739,-80.03048623
17000800202,17000800202,Marsh Creek,6,3,50.0,44.00859626,-77.13655748
17002100302,17002100302,Crowe River,7,0,0.0,44.48156976,-77.68516723
17002100702,17002100702,Ouse River,7,0,0.0,44.38065864,-77.97732373
17002100802,17002100802,Otonabee River,7,0,0.0,44.20638264,-78.27879686
17002102102,17002102102,Sturgeon Lake Outlet,7,0,0.0,44.53859614,-78.54622123
17002102302,17002102302,Cameron Lake Outlet,7,0,0.0,44.53515914,-78.73752486
17002102502,17002102502,Gull River,7,0,0.0,44.65846939,-78.79674061
17002103802,17002103802,Jackson Creek,7,0,0.0,44.29952301,-78.32066986
17002104102,17002104102,Scugog River,7,0,0.0,44.39551751,-78.75349723
17002104602,17002104602,Cold Creek,7,1,14.286,44.20104264,-77.59569585
17002105202,17002105202,Mississauga River,7,0,0.0,44.56394014,-78.34054048
17002105402,17002105402,Balsam Lake Outlet,7,0,0.0,44.57366001,-78.78594998
17002105702,17002105702,Trent River,7,0,0.0,44.37636176,-77.78640973
17002106502,17002106502,Otonabee River,7,0,0.0,44.40074989,-78.26286723
17002106702,17002106702,Trent River,7,0,0.0,44.30808676,-77.95611536
17002107102,17002107102,Salt Creek,7,0,0.0,44.19960864,-77.81872298
17002107402,17002107402,Pigeon River,7,0,0.0,44.34198064,-78.54169786
17002107502,17002107502,Burnt River,7,3,42.857,44.74053601,-78.65936523
17002107702,17002107702,Baxter Creek,7,0,0.0,44.13534214,-78.45732523
17002108602,17002108602,Crowe River,7,6,85.714,44.77074214,-77.88164948
17002109202,17002109202,North River,7,2,28.571,44.52679451,-77.89834273
17002109502,17002109502,Beaver Creek,7,0,0.0,44.53391526,-77.69751685
17002111802,17002111802,Trent River,7,0,0.0,44.26365514,-77.59664423
17002111902,17002111902,Mariposa Brook,7,0,0.0,44.28545426,-78.82008948
17002112802,17002112802,Mayhew Creek,7,0,0.0,44.10990101,-77.59453485
17002113002,17002113002,Scugog River,7,0,0.0,44.32767014,-78.73027636
17002113302,17002113302,Cold Creek,7,0,0.0,44.13468464,-77.78685773
17002113602,17002113602,Nonquon River,7,4,57.143,44.20022689,-78.94943136
17002113702,17002113702,Blackstock Creek,7,1,14.286,44.13187564,-78.82887773
17002113802,17002113802,Stoney Creek,5,4,80.0,44.77755439,-78.29348848
17002113902,17002113902,Anstruther Lake Outlet,5,1,20.0,44.72517739,-78.24071848
17002114002,17002114002,Cavan Creek,7,0,0.0,44.22696639,-78.39655298
17002114102,17002114102,Indian River,7,0,0.0,44.31042414,-78.16019623
17002114502,17002114502,Crowe River,7,5,71.429,44.83937339,-77.92419136
17002115602,17002115602,Trout Creek,7,1,14.286,44.30642912,-77.80669989
17002115702,17002115702,Percy Creek,7,0,0.0,44.2244205,-77.83929756
17002153802,17002153802,Trent River,7,0,0.0,44.147685,-77.581857
17002600102,17002600102,Moira River,7,0,0.0,44.16534526,-77.38646773
17002600202,17002600202,Moira River,7,0,0.0,44.20605439,-77.39320635
17002600302,17002600302,Moira River,7,0,0.0,44.45845239,-77.29846773
17002600402,17002600402,Moira River,7,0,0.0,44.45751576,-77.27672248
17002600602,17002600602,Moira River,7,1,14.286,44.47889464,-77.30962048
17002600702,17002600702,Clare River,7,0,0.0,44.48091226,-77.2706871
17002600902,17002600902,Skootamotta River,11,8,72.727,44.549236,-77.328304
17002601101,17002601101,Moira River,7,0,0.0,44.47835814,-77.4681561
17002601202,17002601202,Deer Creek,7,2,28.571,44.49953864,-77.4733066
17002601302,17002601302,Moira River,7,2,28.571,44.49961189,-77.61789323
17002601902,17002601902,Moira River,7,2,28.571,44.56276839,-77.60303823
17002602302,17002602302,Moira River,7,0,0.0,44.50971114,-77.39071673
17002602502,17002602502,Black River,7,4,57.143,44.5366404,-77.37033255
17003100102,17003100102,Salmon River,8,0,0.0,44.19623539,-77.22939823
17003500202,17003500202,Napanee River,8,0,0.0,44.27770201,-76.92817498
17003500402,17003500402,Napanee River,8,0,0.0,44.32345001,-76.8752776
17003700302,17003700302,Wilton Creek,7,1,14.286,44.23924551,-76.8491376
18000017002,18000017002,Ottawa River,8,0,0.0,45.47494827,-76.23814385
18000036002,18000036002,Ottawa River,7,1,14.286,46.372615,-78.725639
18003300302,18003300302,Kemptville Creek,3,0,0.0,45.02735664,-75.64159073
18003300802,18003300802,Tay River,6,0,0.0,44.89281376,-76.19725198
18003303402,18003303402,Rideau River,6,0,0.0,45.43743002,-75.67854073
18003303502,18003303502,Rideau River,6,0,0.0,44.95113552,-75.81947835
18003303602,18003303602,Jock River,7,0,0.0,45.24920927,-75.7908066
18207000702,18207000702,Scotch River West,2,1,50.0,45.37543089,-74.94766473
18207000802,18207000802,Cobbs Lake Creek,5,5,100.0,45.44486302,-75.06108698
18207002002,18207002002,South Nation River,6,6,100.0,45.55919927,-75.06332235
18207006002,18207006002,Scotch River East,2,0,0.0,45.37399664,-74.90711423
18207010002,18207010002,South Nation River,6,1,16.667,45.31853002,-75.0925301
18207014502,18207014502,Castor River,3,0,0.0,45.26242627,-75.3436171
18207015002,18207015002,South Natiom River,6,3,50.0,44.77975064,-75.58635535
18207016002,18207016002,South Nation River,1,0,0.0,45.10188314,-75.22882773
18337012102,18337012102,Carp River,8,2,25.0,45.41750902,-76.1984511
18343000102,18343000102,Buckshot Creek,8,1,12.5,44.96843477,-76.96597735
18343000202,18343000202,Indian River,8,0,0.0,45.24535502,-76.26013148
18343003002,18343003002,Mississippi River,8,0,0.0,45.42325002,-76.25246835
18343023002,18343023002,Mississippi River,8,0,0.0,44.85020114,-77.16923323
18343052002,18343052002,Clyde River,8,0,0.0,45.01245302,-76.36411773
18343061002,18343061002,Fall River,8,0,0.0,44.94763102,-76.41068235
18349002002,18349002002,Madawaska River,8,0,0.0,45.43451789,-76.34968485
18369001002,18369001002,Bonnechere River,8,1,12.5,45.51443139,-76.5567031
18607002002,18607002002,Mattawa River,7,1,14.286,46.318781,-78.706637
18607006002,18607006002,Kaibuskong River,7,0,0.0,46.269617,-79.142646
18607008002,18607008002,Amable Du Fond River,7,0,0.0,46.28699,-78.904388
19000103602,19000103602,Wabigoon River,1,1,100.0,49.95861227,-93.40124274
19004000102,19004000102,Ekwan River,2,1,50.0,53.80596723,-84.92189824
19004300102,19004300102,Attawapiskat River,2,0,0.0,53.09002632,-85.06488319
19004300402,19004300402,Attawapiskat River,1,0,0.0,52.08617843,-87.06546613
19004300502,19004300502,Attawapiskat River,2,0,0.0,52.93184547,-83.36832454
19004400102,19004400102,Muketei River,2,0,0.0,52.87673516,-86.23956477
19006400102,19006400102,Mattagami River,7,1,14.286,48.49387352,-81.36039561
19006400402,19006400402,Porcupine River,6,4,66.667,48.54983827,-81.05480486
19006401420,19006401420,Mattagami River,7,1,14.286,48.47479377,-81.35320186
19006404502,19006404502,Porcupine River,7,1,14.286,48.48242452,-81.22226798
